CONSORT_Item,PMCID,sentence_id,start_char_pos,end_char_pos,clean_sentence_text
7a,PMC4621368,S73,10637,10780, Power calculations based recent study patients undergoing remote ischaemic preconditioning coronary artery bypass surgery 5
5,PMC4066691,S54,8632,8987, Concomitant use following permitted maintenance treatment systemic oral depot corticosteroids anticholinergics tiotropium LABAs ICS plus short acting ICS    LABA fixed dose combinations leukotriene modifiers anti immunoglobulin E treatment chromone methylxanthines phosphodiesterase 4 inhibitors
5,PMC5009486,S52,8275,8444, Other prohibited medications included non selective antagonists tricyclic antidepressants monoamine oxidase inhibitors anticonvulsants phenothiazines
12b,PMC3668094,S78,10933,11117, Because found heterogeneity used conditional multiple logistic regression investigate independent predictors viral RNA clearance day five stratified study sites
0,PMC3489506,S93,12686,12842, The trial originally designed two primary outcomes total sleep time according sleep diary sleep onset latency measured actigraphy
6a,PMC4213545,S54,8929,9459, Additional efficacy parameters included change baseline peak FEV1 visits 12 hour spirometry measurements subset intention to treat ITT population based change baseline FEV1 study visits SGRQ Baseline Transition Dyspnea Index BDI TDI study visits except week 24 rescue medication use onset action bronchodilation daily COPD symptoms assessed Exacerbations Chronic Pulmonary Disease Tool EXACT Respiratory Symptoms E RS questionnaire 15
12a,PMC4145444,S75,9768,9841, The Wilcoxon test used compare non normally distributed variables
6a,PMC4515982,S51,6635,6800, Secondary outcomes changed baseline ALSFRS R score sVC seated position patients  quality life measured ALSAQ 40 questionnaire
3a,PMC3489506,S57,7319,7441, The trial design included subjective diary objective actigraphy measures sleep recommended Sadeh 13
0,PMC3109952,S74,10193,10390, The Cochrane systematic review found one small trial directly comparing effectiveness chemical treatment salicylic acid cryotherapy patients warts feet alone 6
6a,PMC3551223,S62,9278,9417, Quality life assessed baseline weeks 4 8 12 24 using rheumatoid arthritis quality life questionnaire RAQoL
8b,PMC3028347,S51,7586,7649, Grade SST Corporation Clifton NJ capsules 250 mg capsule
10,PMC3420230,S74,13346,13538, On randomisation clinical unit  s internet trial system issued unique participant identification number participant randomised one trials according eligibility
6a,PMC5529963,S74,9269,9526, The effect HDL endothelial cell superoxide production SO measured unstimulated tumour necrosis factor   TNF   stimulated 5  ng mL R D Systems human aortic endothelial cells HAECs erythrocyte sedimentation rate ESR spectroscopy
6a,PMC4770816,S64,9248,9441, Secondary measures blood pressure included diastolic blood pressure six 12 months systolic blood pressure six months proportion achieving target blood pressures 12 months
6a,PMC3668094,S59,8253,8484, Virus culture genotypic screening oseltamivir resistance mutations performed described previously day 0 samples enrolled patients day five samples patients positive results RT PCR 24 25
6a,PMC3623038,S56,7640,7769, After acute administration L dopa 9 00 on  condition assessed 9 30 10 00 morning
8b,PMC4621368,S45,6533,6829, Randomisation incorporated minimisation age presence diabetes mellitus extent coronary artery disease renal function surgeon A B To ensure blinding study drugs prepared staff independent study investigators clinical team responsible patient  s care
5,PMC4515982,S63,8193,8245, Each centre stored investigational drug
6a,PMC3386495,S82,13468,13690, 6 months randomisation general practitioners hospital coordinators contacted IST 3 trial office staff check patient alive inform might approached follow up
7b,PMC5064025,S88,12595,12846, Two interim analyses pre specified n  60 patients completed 3 months treatment respectively intention halting study adverse measures identified futility interim positive efficacy
5,PMC3028347,S57,8541,8669, Study medication dose progressively lowered 250 mg day prescribed dosage could tolerated 7 day trial
0,PMC3590447,S47,7665,7708, All patients gave written informed consent
6a,PMC4797126,S63,9885,10180, Secondary efficacy outcomes included assessments lung function using relative change pre bronchodilator FEV1 baseline Weeks 12 36 change asthma symptoms baseline Week 36 using total daytime symptom severity scores derived daily patient diary
5,PMC4066691,S46,7165,7453, After initial screening visit 4 week run in period patients randomised one four treatment sequences received four treatments tiotropium 5   g 2 5   g 1 25   g placebo delivered via Respimat  SoftMist  inhaler Figure  1
7a,PMC3641608,S76,13917,14202, For ART strategy randomisation 1200 children provided 80 power detect differences change CD4 percentage 2  5 across three groups F test two sided assuming 20 missing data loss follow up missed visit test standard deviation 10 23
6a,PMC3028347,S81,13366,13510, The prespecified primary study end point change BMI SD score BMI Z determined end 6 month randomized treatment phase
12a,PMC4213545,S69,12468,12535, Odds ratios estimated treatment group versus placebo
5,PMC3944682,S74,11348,11549, If diary received two weeks one mailed reminder sent phone call made necessary document key outcomes using brief questionnaire  which shown reliable 13
5,PMC4902320,S53,7171,7286, In institution prescription administration intervention facilitated anesthetic team
4b,PMC3590447,S41,6033,6194, In randomised controlled trial patients recruited 37 45 renal units acute hospitals throughout UK obtained local ethical approval
6a,PMC3944682,S67,10395,10595, The primary outcome symptom severity measured end day days 2 4 two week symptom diary days 2 4 symptoms respiratory infections worst11 14
0,PMC4469977,S49,6131,6299, Members UK Dermatology Clinical Trials Network also identified research priority area clinicians treating patients pyoderma gangrenosum
11a,PMC3623038,S45,5668,5739, Patients study staff investigators blinded assignment
0,PMC3756454,S47,7067,7185, In contrast single intravenous dose 10  mg etanercept achieves maximum concentration 2 32   g ml 50  min 16
12a,PMC3420230,S133,23126,23278, The treatment effect presented concentration ratio ratio treatment groups geometric mean concentration post randomisation
0,PMC3076731,S40,5167,5366, A steering committee British Society Paediatric Endocrinology Diabetes Clinical Trials Audit Group supervised study independent data safety monitoring group established
6a,PMC3321505,S47,8275,8496, The primary end point REDUCE 2 upper GI gastric duodenal ulcers identified endoscopy 24 week study period three secondary end points gastric ulcers duodenal ulcers GI complications
0,PMC3348565,S75,11075,11182, Respiratory rate anthropomorphic data collected twice used mean values analysis
11a,PMC4621368,S45,6533,6829, Randomisation incorporated minimisation age presence diabetes mellitus extent coronary artery disease renal function surgeon A B To ensure blinding study drugs prepared staff independent study investigators clinical team responsible patient  s care
6a,PMC3756454,S52,7843,7967, Patients abstained food caffeine containing drinks 4  h 24  h ingestion alcohol prior phlebotomy
6a,PMC5529963,S75,9527,9810, HAECs incubated HDL patients controls 50   g mL 60  min 37  C without TNF   resuspended Krebs Hepes buffer pH 7 4 Noxygen containing diethyldithiocarbamic acid sodium salt 5   M Noxygen deferoxamine methanesulfonate salt 25   M Noxygen
6a,PMC3242163,S49,7354,7642, During post trial period participants asked year current statin use post trial lipid profile assays sought 1500 randomly selected surviving participants May 2004 August 2004 ie 3 years scheduled treatment period
8b,PMC3321505,S37,6775,6969, Patients stratified two risk factors ulcer development concomitant use low dose aspirin daily and or anticoagulant medication history gastric duodenal ulcer
0,PMC4797126,S52,7351,7383, Ethics consent permissions
6a,PMC3756454,S59,9143,9259, Assessment vasomotor function response intra arterial vasodilators performed described previously 19
4a,PMC4431679,S48,6397,6655, The highly probable group included patients ventilator associated pneumonia prior antibiotic treatment central catheter related infections surgical site infections presence foreign body without microbiological documentation 28
11a,PMC4085478,S80,10748,10886, It possible patients investigators guess next allocated medication order avoid selection allocation biases
12a,PMC4621368,S64,9238,9392, It analysed using generalised linear model including terms treatment allocation variables randomisation minimised
6a,PMC3551223,S79,12746,12925, Remission defined 2010 ACR  EULAR criteria Boolean definition 15 simplified disease activity index clinical disease activity index analysed post hoc
5,PMC5099201,S47,6526,6712, Patients randomly assigned centralised system 1 1 ratio one two open label treatment groups TCZ added MTX ADD ON group TCZ switched MTX SWITCH group
6a,PMC3002834,S71,8747,8872, Cell numbers quantified relative 105 granulocytes identified CD45 cells typical granulocyte distribution
0,PMC4066691,S87,13788,13857, Analysis adverse events vital signs descriptive nature
6a,PMC5264229,S66,8127,8211, AEs collected particular serious AEs serious infections TB IRRs
7a,PMC5033259,S36,5802,5950, With 80 power 2 groups 20 participants estimated would able detect effect size difference 0 9  0 05 level
3a,PMC3391717,S39,4741,4849, We phase 3 randomised placebo controlled trial six Dutch one Scottish one Chilean centre
0,PMC3266479,S48,5657,5744, Study drug packs prepared Bilcare Global Clinical Supplies Europe Powys UK
0,PMC3018567,S96,15448,15511, Analysis done children older 15 months
12b,PMC3391717,S82,10257,10472, Planned subgroup analyses done according age sex clinical condition admission method treatment aneurysm whether centre treated hypomagnesaemia intravenous magnesium supplementation
4a,PMC3070271,S35,3908,4655, Inclusion criteria age 2  20 years diagnosis SJIA 1 6 months disease duration active systemic disease disease related fever and or C reactive protein CRP 20 mg l and or first hour erythrocyte sedimentation rate ESR 20 significant overall disease activity day 1 D1 least three following criteria 1 physician global assessment disease activity 2 parent patient assessment disease effect overall wellbeing 3 Childhood Health Assessment Questionnaire score 4 joints active arthritis 5 joints non irreversible limited range motion 6 ESR despite oral prednisone prednisolone mg kg 10 mg day whichever lower
0,PMC3242163,S47,6864,7040, During in trial period compliance study treatment assessed follow up questioning participant reviewing remaining calendar packed tablets
6a,PMC3128457,S85,11383,11468, Dependency measured using five point modified Oxford handicap scale mOHS 17
10,PMC3420230,S66,12191,12310, Randomisation occurred Nottingham Clinical Trials Unit using web based database randomisation system
6a,PMC3018567,S68,10443,10551, At age 12 months blood stool samples obtained children growth outcomes measured
7b,PMC4085478,S65,8910,9068, At interim visits 2 6 weeks baseline V3 V4 possible disease exacerbation changes medication adverse events AEs assessed
12a,PMC4515982,S101,14219,14375, A Cox model applied estimate treatment effect terms HR 95 CI adjusted sex age ALSFRS R score baseline disease duration
5,PMC4770816,S50,6886,7087, Patients randomised intensive arm given target systolic blood pressure 130 mm Hg target reduction 10 mm Hg baseline blood pressure 125 140 mm Hg
6a,PMC4145439,S45,5486,5565, An exploratory endpoint compare efficacy safety OKZ TCZ
12a,PMC3002834,S95,11282,11414, Multivariate determinants log transformed progenitor cell counts identified stepwise multiple linear regression analysis
5,PMC3641608,S66,11493,11582, Antiretroviral drugs could substituted preferably within class adverse events
5,PMC3016167,S104,14438,14695, A single 30 mL dose Haffkine Biopharma monovalent antivenom batch SS811001 manufacturing date November 2008 expiry date April 2013 added 100 mL normal saline infused intravenously 30 minutes irrespective patient  s age
0,PMC3551223,S67,10112,10232, The SDC smallest change attributed something observed variability reader differences
12a,PMC3128457,S119,15519,15631, Subarachnoid haemorrhage scale compared two groups using non parametric rank test Kruskal Wallis
7b,PMC4085478,S51,6907,7002, A planned interim analysis included possibility increasing sample size necessary
4a,PMC5099201,S38,5264,5565, n randomised controlled study patients RA diagnosed according 1987 American College Rheumatology ACR criteria less 10  years aged 20 75  years moderate high disease activity baseline visits enrolled November 2009 March 2012
0,PMC3623038,S74,9942,9976, The effect size also computed
11a,PMC3103669,S44,6416,6711, In order achieve blinding patients investigators patients received subcutaneous injections canakinumab canakinumab placebo day 1 weeks 4 8 12 took capsules colchicine colchicine placebo daily 16 weeks see supplementary material details
7a,PMC3076731,S74,10299,10498, Assuming standard deviation 5 cm needed 50 girls group detect difference groups mean final height 2 8 cm 80 power 5 significance  a total 100 patients
6a,PMC3348565,S87,13207,13356, We also collected samples times appendix different set randomly selected children check fluctuations serum concentrations
12a,PMC3016167,S64,8410,8617, The groups compared using test Fisher  s exact test categorical variables unpaired test normally distributed continuous variables Mann Whitney U test continuous variables
6a,PMC3242163,S50,7643,7801, About 1100 blood samples obtained participants family doctors mailed central laboratory assay using previously validated methods 15
5,PMC3028347,S64,9591,9744, These data used offer individualized prescriptions light  style 42 500 kcal day  deficit diet reduced fat energy intake
6a,PMC3128457,S64,8392,8525, The width B measured maximum thickness cm haematoma inner table skull perpendicular length
5,PMC4902320,S57,7506,7665, Patients found noteworthy ID IDA follow up irrespective group allocation referred General Practitioner ongoing management
0,PMC3590447,S73,11375,11530, We also regarded serious important medical events might jeopardised patient needed intervention prevent one outcomes
0,PMC3686261,S39,5765,5884, The studies conducted accordance principles Declaration Helsinki good clinical practice
5,PMC5529963,S39,4901,5032, Patients treated oral corticosteroids must receiving stable dosage 10  mg prednisolone per day 4  weeks
0,PMC3420230,S84,14890,15009, After randomisation member research team saw participants weekly time routine clinical visit
7b,PMC3391717,S79,9618,9858, The data monitoring committee two interim analyses study 350 750 patients completed 3 month follow up reference pre defined stopping rule recommended continuation trial occasions
12a,PMC4085478,S109,15471,15620, likelihood ratio tests based nominal logistic regression planned compare results qualitative variables treatment groups
6a,PMC5418559,S78,13822,14064, Data collected touch tone telephone diary system throughout study automatically entered database abnormal values automatically flagged relevant site could follow up patient clarification
3a,PMC3070271,S42,5387,5451, Part 1 randomised double blind placebo controlled phase
5,PMC3551223,S54,8016,8336, Tocilizumab and or disease modifying antirheumatic drug treatment reduced temporarily interrupted patients alanine aminotransferase aspartate transaminase values greater one three times upper limit normal ULN discontinued persistent increases greater three times ULN
3a,PMC5099201,S38,5264,5565, n randomised controlled study patients RA diagnosed according 1987 American College Rheumatology ACR criteria less 10  years aged 20 75  years moderate high disease activity baseline visits enrolled November 2009 March 2012
0,PMC4621368,S52,7721,7911, Cardioprotection provided cold blood cardioplegia 1 4 administered antegradely cross clamping aorta coronary arteries cross clamp fibrillation
0,PMC4215282,S55,8242,8513, Furthermore phase I studies demonstrated use up titration dosing regimen first dose effects ponesimod 20 40  mg heart rate conductivity reduced safety tolerability higher dose considered acceptable
0,PMC3128457,S46,5958,6110, The sites selected according interest topic adequate facilities conducting computed tomography expected recruitment rate
0,PMC4515982,S86,11492,11685, Trial monitoring performed independent contract research organisation CROM srl Verona Italy assured consistency measuring outcomes across centres scheduled site visits
5,PMC3070271,S43,5452,5600, At D1 eligible patients randomised receive either anakinra placebo 1 1 D1 month 1 M1 using computer generated random list
7a,PMC3668094,S68,9623,9912, If assume 30 children 55 adults treated standard dose oseltamivir would test negative virus day five sample size 242 patients would required show 20 absolute improvement cessation viral shedding 85 power two sided 0 05
6a,PMC3321505,S48,8497,8579, An endoscopic diagnosis ulcer required unequivocal depth diameter
12b,PMC3076731,S78,10808,10936, We also adjusted randomisation 2 timing pubertal induction randomisation 1 oxandrolone tested interaction
8a,PMC5099201,S47,6526,6712, Patients randomly assigned centralised system 1 1 ratio one two open label treatment groups TCZ added MTX ADD ON group TCZ switched MTX SWITCH group
12a,PMC3036630,S86,10124,10281, Receiver operating characteristic ROC curves constructed using RDR eosinophilic vs non eosinophilic COPD threshold 2 5 sputum eosinophils
0,PMC3420230,S63,11669,11739, The usual hospital interpreter translator services available
12a,PMC3623038,S75,9977,10084, Furthermore covariance model s validity checked analysing residuals Cook distances
6a,PMC4893154,S62,9133,9481, A multislice multiphase data  set covering entire left ventricle 10 12  short axis slices acquired using validated 2 dimensional balanced steady state free precession pulse sequence TR 2 8 ms TE 1 4 ms flip angle 55  spatial resolution 2 0 mm    2 0 mm    10 mm interslice gap 30 phases cardiac cycle 1 slice per breath hold
0,PMC3420230,S55,9986,10123, The trial began two centres October 2008 remainder joined following year regulatory approvals obtained
6a,PMC4797126,S66,10514,10843, To assess change allergy related quality of life measures baseline Week 36 Standardized Asthma Quality Life Questionnaire AQLQ S 22 Standardized Rhinoconjunctivitis Quality Life Questionnaire RQLQ S 23 administered patient visits throughout treatment follow up periods
0,PMC3028347,S41,6311,6384, Written assent consent obtained children parents
5,PMC4770816,S54,7696,7971, A practice nurse would see patients three month intervals blood pressure target previously measured one month previous blood pressure target refer general practitioner blood pressure target
6a,PMC3348565,S78,11691,11806, In case disagreement radiographs read third independent radiologist decisions accepted
0,PMC3590447,S54,8361,8523, We recorded baseline data supportive treatment alone group randomisation patients effectively continuing existing management
6a,PMC4469977,S69,9881,10019, Assessors blind allocated treatment assessed ulcer size global treatment response digital images target lesion
8a,PMC3028347,S51,7586,7649, Grade SST Corporation Clifton NJ capsules 250 mg capsule
6a,PMC5033259,S63,9775,9913, Images presented blocks block presented counterbalanced order interspersed periods visual fixation
0,PMC3070271,S66,8176,8238, This mining strategy described detail elsewhere 14
12a,PMC3242163,S52,7867,8303, The main comparisons entail log rank analyses first post randomisation occurrence particular events in trial period defined events occurring Nov 11 2001 post trial period defined events occurring Nov 11 2001 March 31 2007 among originally allocated 40 mg simvastatin daily versus allocated matching placebo tablets ie intention to treat analyses
0,PMC4469977,S55,6957,7175, If clinical diagnosis uncertain biopsy performed exclude diagnoses malignancy granulomatous pyoderma gangrenosum arteritis advice sought expert panel necessary
0,PMC3590447,S91,13787,13912, The corresponding author full access data study final responsibility submit publication
7a,PMC3420230,S123,21531,21745, This confirmed study carried 99 9 power detect difference 30 mm standard deviation 26 mm across arms correlation baseline follow up measurements
0,PMC4515982,S47,6297,6360, The protocol approved ethics committee site
6a,PMC3266479,S59,7414,7544, Compliance recommendations protective ventilation assessed baseline tidal volumes per kg ideal bodyweight
0,PMC4770816,S81,11648,11751, Thus patient one emergency hospital admission first one would counted
6a,PMC5064025,S68,9860,10067, Ltd West Ryde Australia applied immediately MRI scanning acquire aortic central pulse pressure radial artery applanation tonometry PWV carotid femoral pulse waves
12a,PMC3109952,S85,11957,12088, Cohen  s measure inter rater agreement used assess agreement two assessors photographs clearance
4b,PMC4213545,S37,5614,5927, This phase 3 randomized double blind study patients moderate severe COPD conducted 222 centers throughout North America Australia New Zealand NCT01437397 accordance International Conference Harmonization Good Clinical Practice guidelines Declaration Helsinki
12a,PMC4893154,S74,11035,11110, All significance tests 2 sided called significant 5 level
0,PMC3551223,S157,25752,25764, Web appendix
12a,PMC4515982,S104,14660,14746, All data analysed using SAS V 9 3 SAS Institute INC Cary North Carolina USA
0,PMC5418559,S79,14065,14175, Compliance study treatment determined based amount unused study drug returned study sites
0,PMC5529963,S106,13965,13999, 10 1136 heartjnl 2015 308953 supp2
6a,PMC5418559,S58,10474,10594, Degree relief IBS symptoms treatment satisfaction 12 weeks additional secondary efficacy variables
6a,PMC4469977,S88,12310,12385, We identified outcome important secondary outcomes
5,PMC4145444,S56,6894,7057, The content elemental calcium 1 0  g limestone 268  mg courtesy Michael Gruzak USDA ARS Children s Nutrition Research Center Houston Texas USA
0,PMC5064025,S94,13689,13788, All authors full access data study assume responsibility publication
5,PMC5064025,S52,7779,7914, After consent eligible patients randomized 1 1 receive canakinumab 150 mg placebo subcutaneously monthly 12 months
5,PMC3109952,S57,8316,8421, The backing paper plaster removed plaster applied cover ring completely
8a,PMC3028347,S49,7156,7314, Investigators assigned consecutive code numbers participants prespecified lists stratified race ethnicity sex degree pubertal development
0,PMC4145444,S46,5898,6005, Two 24 h dietary recalls obtained separate days determine energy phosphorus calcium intake
0,PMC3502035,S65,11972,12084, Given size nature study impractical obtain independent blinded blood pressure levels
11b,PMC3551223,S53,7753,8015, Treatment methotrexate placebo double blind patients received identical capsules either placebo switch strategy arm methotrexate 2 5 mg add on strategy arm number capsules study entry consistent prestudy dosage
8a,PMC4893154,S31,4525,4820, Patients enrolled VINDICATE allocated blocks 20 using minimization balancing etiology chronic HF ischemic non ischemic diabetes mellitus sex chronic obstructive pulmonary disease requiring use  of regular bronchodilators ethnic origin Caucasian non Caucasian
0,PMC4770816,S86,12148,12228, No patients asked advise interpretation writing results
6a,PMC3623038,S53,7320,7427, All measurements recorded double blind manner hospital s gait laboratory CM AD VT
0,PMC4085478,S69,9597,9722, The investigator could withdraw patient case AEs disease exacerbation therapeutic intervention required
0,PMC3386495,S46,7422,7563, The protocol approved Multi centre Research Ethics Committees Scotland reference MREC 99 0 78 local ethical committees
6a,PMC4469977,S95,13366,13599, Number treatment failures  defined withdrew randomised treatment treatment intolerance whose pyoderma gangrenosum worsened whose target lesion remained unhealed six months follow up
0,PMC5529963,S56,7240,7346, The study approved Riverside Research Ethics Committee patients provided informed consent
0,PMC3103669,S40,5516,5867, The study performed accordance International Conference Harmonisation Technical Requirements Registration Pharmaceuticals Human Use ICH Harmonised Tripartite Guidelines Good Clinical Practice ethical principles laid Declaration Helsinki patients provided written informed consent
12b,PMC3420230,S139,24292,24541, We used interaction tests determine whether apparent differences treatment effect groups could interpreted real due chance hence indentify subgroups might might benefit randomised treatment
12a,PMC3018567,S110,17742,17818, Regression coefficients back transformed give geometric mean ratios
4a,PMC3386495,S45,7176,7421, Only clinician patient relevant proxy patient felt treatment promising unproven could patient included trial appropriate informed consent patient valid proxy
12a,PMC3002766,S78,12092,12202, Treatment effects new DUs predefined subgroups presented point estimates 95 two sided CIs
6a,PMC3028347,S68,10200,11318, Subjects met inclusion criteria admitted inpatients CRC following measurements weight hospital gown using calibrated digital scale Life Measurement Instruments Concord CA height triplicate using stadiometer Holtain Crymych U K calibrated measurement abdominal hip circumferences assessed triplicate triceps skinfold thickness Lange calipers Cambridge Scientific Industries Cambridge MD trained research dietitians C G S N G S blood pressure using automated sphygmomanometer Dinamap Plus Critikon Tampa FL measured seated position least 5 min rest hand roentgenogram determination skeletal age whole body fat mass dual energy X ray absorptiometry DEXA 4500A Hologic Bedford MA software version 11 2 air displacement plethysmography intra abdominal subcutaneous abdominal adipose tissue magnetic resonance imaging L2  L3 L4  L5 T1 weighted spin echo images 0 5 T relaxation time 400 ms time excitation 10 ms number repetitions excitations 10
5,PMC3016167,S108,15233,15294, Similar doses administered randomisation groups
10,PMC3420230,S73,13259,13337, Allocation occurred centrally clinical unit using web based database
5,PMC3641608,S64,11312,11406, All children received ART syrups tablets dosed according WHO weight band tables 19  21
4a,PMC3321505,S33,5184,6301, Exclusion criteria included history erosive esophagitis history GI complications bleeding perforated ulcer gastric outlet obstruction due ulcer history NSAID associated asthma exacerbations acute renal failure interstitial nephritis hepatitis history GI malignancy history myocardial infarction unstable cardiac arrhythmias stroke within 6 months study entry coronary artery bypass graft surgery within 14 days study entry uncontrolled congestive heart failure hypertension entry acid suppressive therapy misoprostol within 14 days study entry investigational drug NSAIDs including aspirin 325  mg daily within 30 days study entry ulcer 5 erosions screening upper GI tract endoscopy one following abnormalities baseline laboratory testing creatinine clearance 45  ml min aminotransferase 2 5 times upper limit normal fasting blood sugar 200  mg dl serum pregnancy test positive serologic tests positive human immunodeficiency virus hepatitis B hepatitis C stool antigen H pylori positive
6a,PMC3018567,S76,11642,11829, We examined stimulated interferon   type 1 interleukin 5 type 2 interleukin 13 type 2 interleukin 10 regulatory responses whole blood assay previously described 23
6a,PMC3551223,S80,12960,13122, To approach concepts onset action sustainability changes time selected variables joint counts CRP pain HAQ  DI evaluated
6a,PMC3018567,S72,11034,11185, Community reported data illness events included secondary outcome comparison doctor diagnosed illness events clinic visits
0,PMC3391717,S48,5873,5929, All patients provided written oral informed consent
5,PMC3590447,S58,8905,9026, All patients received supportive therapy including renin angiotensin blockade statins anticoagulants indicated
8b,PMC3103669,S43,6081,6415, Eligible patients subsequently randomised 1 1 1 1 1 1 2 receive single dose canakinumab 25 mg 50 mg 100 mg 200 mg 300 mg day 1 four canakinumab doses administered 4 weekly intervals 50 mg day 1 week 4 25 mg weeks 8 12 daily oral doses colchicine 0 5 mg given 16 weeks
4a,PMC3686261,S42,6097,6481, Patients must satisfied following inclusion criteria disease duration less 3  years eight swollen joints 66 assessed 10 tender joints 68 assessed either erythrocyte sedimentation rate greater 28  mm h C reactive protein CRP concentration 1 5  mg dl greater either rheumatoid factor positivity least one JE
6a,PMC3551223,S83,13522,13819, Safety endpoints included incidence adverse events AE serious AE serious infections specific laboratory abnormalities analysed safety population treated patients least one post dose assessment safety analysed according treatment received
6b,PMC3321505,S60,10976,11374, Before study termination unblinding primary analysis changed comparison treatment arms life table estimates proportion patients ulcers 24 weeks employing modified using sum squares life table error term comparison crude proportions using Cochran  Mantel  Haenszel test maintained secondary analysis
8a,PMC3668094,S41,5986,6135, Patients randomised receive double standard dose oseltamivir based computer generated list stratified site age group
11a,PMC5529963,S44,5464,5591, All physicians patients nurses non clinical members study team blinded first year study
6a,PMC3016167,S96,13270,13399, Subsequent improvement deteriorations grade 3 4 closely followed author examined patient arrival
6a,PMC3266479,S60,7545,7624, All treatments delivered accordance local clinical practice
5,PMC4215282,S46,6725,6880, Within investigation site patients randomised 1 1 1 1 ratio once daily treatment placebo ponesimod 10 20 40  mg 24  weeks
12a,PMC4770816,S72,10427,10626, We used mixed models primary analysis adjusting baseline blood pressure age group 80 years years sex diabetes mellitus atrial fibrillation practice random effect
0,PMC4085478,S49,6611,6788, Intervent discontinued intervention INR international normalized ratio SCCAI Simple Clinical Colitis Activity Index TNF   tumor necrosis factor   UC ulcerative colitis
5,PMC3756454,S43,6400,6608, In randomised double blind parallel group design patients evaluated two occasions 24  h intravenous administration TNF   antagonist etanercept 10  mg saline placebo
6a,PMC3641608,S73,13114,13326, All WHO stage 3 4 events deaths serious adverse events reviewed prespecified criteria endpoint review committee independent chair members masked randomised allocations
0,PMC3018567,S105,16850,17111, For immune response age 1 year analysis included children provided blood sample 1 year received full BCG cCFP analysis tetanus tetanus toxoid analysis immunisation Entebbe Hospital second born twins excluded
6a,PMC3018567,S89,14217,14328, Plasma whole blood cell pellet separated centrifugation stored assays done
6a,PMC3103669,S42,5972,6080, At screening patients indicated joints affected previous gouty arthritis flares
6a,PMC3489506,S84,11427,11519, The Investigator  s Brochure referred assessment causality expectedness
11a,PMC3386495,S68,10664,10745, All assessments made masked patient details treatment allocation
0,PMC4797126,S55,7946,7958, Participants
12a,PMC4085478,S108,15332,15470, Survival methods used analyze time to event variables log rank test compared time event curves treatment groups
0,PMC3028347,S84,13805,13911, Participants seen monthly exchanged unused study medication new supply visit
6a,PMC3002766,S63,8871,9125, The two primary end points 1 mean number new DUs per patient assessed investigator week 24 2 time healing cardinal ulcer week 24 patients cardinal ulcer healing maintained 12 weeks
7a,PMC5033259,S33,5436,5532, No prior studies lorcaserin human brain existed base power calculations
11a,PMC3266479,S53,6369,6449, Participants care providers investigators masked group assignment
0,PMC4770816,S41,5839,5955, Potentially eligible participants identified using search general practice  s clinical computer system
6a,PMC5264229,S73,8834,9069, ADAs measured using validated electrochemiluminescence immunoassays neutralising antibodies measured using competitive ligand binding assay MesoScale Discovery platform Meso Scale Discovery Rockville Maryland USA
8b,PMC3756454,S49,7377,7669, Randomisation performed computer generated sequence ensure concealment treatment allocation following minimisation age sex time randomisation peak troponin serum cholesterol cardiovascular risk factors including diabetes mellitus hypertension smoking 17
6a,PMC3623038,S62,8246,8396, In view possible antagonistic effect memantine nicotinic acetylcholine receptors 5 drowsiness assessed Epworth Sleepiness Scale
4a,PMC4515982,S44,5451,5987, Exclusion criteria haematocrit 51 men 49 women haemoglobin value 17  g dL non invasive ventilation NIV 6  h daily known familial ALS first degree relative ALS diagnosis frontotemporal dementia history and or instrumental evidence previous thrombotic vascular event cardiac diseases uncontrolled hypertension systolic diastolic irrespective treatments two consecutive evaluations active solid myeloproliferative malignancy known hypercoagulable disorders
0,PMC4066691,S89,14104,14207, If previous step successful analysis current step considered descriptive
0,PMC3489506,S73,10096,10223, Concentrations usually low day evening approaches start rise sharply peaking around midnight
6a,PMC5033259,S46,7727,7789, Fasting blood drawn venipuncture registered nurse
6a,PMC5009486,S70,10611,10699, Spirometry performed assess lung function pre post dose study visit
0,PMC4085478,S86,11756,11844, All authors access study data reviewed approved manuscript
12a,PMC4893154,S72,10622,10770, Differences baseline variables allocations tested using Student tests continuous data chi square test categorical data
6a,PMC5064025,S62,9032,9240, All trial sites used 3 0 T whole body MRI scanner including Trio TIM Trio Verio Siemens Medical Solutions USA Inc Malvern Pennsylvania Achieva Philips Amsterdam Netherlands platforms
6a,PMC3076731,S66,9172,9358, At clinic visits every four six months height measured Harpenden stadiometer last completed 1 mm converted SD score using British 1990 reference 22
0,PMC3128457,S125,16336,16467, The funder study role study design data collection data analysis data interpretation writing report
6a,PMC4085478,S67,9234,9525, The maximal duration study 21 weeks per patient 1 week screening period plus 12 weeks treatment period patients reaching partial complete remission SCCAI 5 end treatment underwent additional 8 week follow up without study medication see Appendix Figure A1
4a,PMC3668094,S39,5651,5944, Exclusion criteria pregnancy positive chorionic gonadotrophin hCG urine women actively breast feeding delay 72 hours treatment oseltamivir severe renal impairment defined creatinine clearance 10 mL min Cockcroft Gault equation
10,PMC3944682,S53,8083,8198, A statistician independent study team coordinated randomisation using computer generated random numbers
7a,PMC3128457,S90,12159,12466, Assuming initial intracranial haemorrhage volume 20 mL average haemorrhage growth 7 mL control group correlation 0 6 initial follow up volumes estimated trial 300 patients would 80 power detect 35 reduction haemorrhage growth
