CONSORT_Item,PMCID,sentence_id,clean_sentence_text
0,PMC3321505,S54, This approach also requires adjustment multiple comparisons 14
0,PMC3321505,S55, The two different primary end points individual studies chosen address clinically relevant end point upper GI ulcers gastric and or duodenal traditional US FDA Food Drug Administration end point gastric ulcers
0,PMC3321505,S56, In clinical practice physicians patients concerned preventing ulcers whether gastric duodenal many clinical trials use primary end point
0,PMC3321505,S57, However FDA generally approved antisecretory medications prevention gastric ulcers e g lansoprazole esomeprazole
0,PMC3321505,S58, These two trials designed used registration pretrial meetings FDA agreed use different end points two trials
12a,PMC3321505,S59, Comparison treatment arms crude proportions patients ulcers 24 weeks Cochran  Mantel  Haenszel test stratified two randomization risk factor strata use low dose aspirin anticoagulants prior ulcer history specified primary statistical analysis time sample size calculation study initiation
6b,PMC3321505,S60, Before study termination unblinding primary analysis changed comparison treatment arms life table estimates proportion patients ulcers 24 weeks employing modified using sum squares life table error term comparison crude proportions using Cochran  Mantel  Haenszel test maintained secondary analysis
0,PMC3321505,S61, Numbers needed to treat NNTs absolute risk reductions calculated using crude proportions
6a,PMC3321505,S62, A pooled analysis patients REDUCE 1 2 prespecified primary end point upper GI ulcers secondary end points gastric ulcers duodenal ulcers
0,PMC3321505,S63, The proportion patients developing ulcers also prespecified assessed following subgroups use low dose aspirin and or anticoagulants prior ulcer history age vs 65  years gender race
0,PMC3321505,S64, In addition post hoc subgroup analysis included use low dose aspirin alone presence absence erosions screening endoscopy
12b,PMC3321505,S65, For comparison subgroups 100 patients across combined treatment arms Fisher s exact test used
12b,PMC3321505,S66, The independent variables prior ulcer history gender age low dose aspirin use baseline erosions therapy also included proportional hazards model determine effect dependent variable development upper GI ulcer
12b,PMC3321505,S67, Treatment by subgroup interaction also assessed among subgroups model
12a,PMC3321505,S68, A post hoc fixed effect meta analysis results two studies end points upper GI gastric duodenal ulcers also performed Review Manager 5 1 Cochrane Collaboration Copenhagen Denmark
12b,PMC3321505,S69, Statistical comparison study groups population patients randomized also prespecified common adverse events occurring 5 patients Cochran  Mantel  Haenszel test
12b,PMC3321505,S70, In addition prespecified comparison proportion patients reported symptom consistent dyspepsia e g dyspepsia upper abdominal pain discomfort epigastric pain discomfort stomach pain discomfort without nausea
0,PMC3321505,S71, All study patients provided written informed consent study approved institutional review boards participating centers
14a,PMC3348565,S49, Between Nov 4 Dec 4 2008 community based randomised placebo controlled superiority trial Kabul Afghanistan within catchment area Maiwand Teaching Hospital serves inner city population
3a,PMC3348565,S49, Between Nov 4 Dec 4 2008 community based randomised placebo controlled superiority trial Kabul Afghanistan within catchment area Maiwand Teaching Hospital serves inner city population
4b,PMC3348565,S49, Between Nov 4 Dec 4 2008 community based randomised placebo controlled superiority trial Kabul Afghanistan within catchment area Maiwand Teaching Hospital serves inner city population
14a,PMC3348565,S50, Follow ended May 2009
4b,PMC3348565,S51, The children enrolled study largely came five 18 socioeconomically deprived inner city districts
0,PMC3348565,S52, We identified households young children detailed maps advice staff Agha Khan Trust Culture non governmental organisation working region
0,PMC3348565,S53, Furthermore study field supervisors mapped region independently verify accuracy maps Agha Khan Trust Culture recruitment visited every house mapped region identify families young children
0,PMC3348565,S54, 20 pairs female fieldworkers visited every home starting streets closest hospital radiating reached required sample size
0,PMC3348565,S55, Those homes carer infant absent revisited within 4 weeks recruitment period
4a,PMC3348565,S56, Our inclusion criteria infants aged 1  11 months living study region
4a,PMC3348565,S57, Our exclusion criteria families expecting move another town within 18 months diagnosis rickets treatment vitamin D previous 3 months clinical diagnosis Kwashiorkor Marasmus
5,PMC3348565,S58, The fieldworkers obtained written informed consent mother father another senior family member recruitment allocated unique identification number sequentially gave first dose vitamin D3 placebo
10,PMC3348565,S58, The fieldworkers obtained written informed consent mother father another senior family member recruitment allocated unique identification number sequentially gave first dose vitamin D3 placebo
4a,PMC3348565,S59, Children vomiting excluded temporarily enrolled 2 weeks later recovery
0,PMC3348565,S60, Thumbprint signature consent obtained child s parents mother father Kabul another family member responsible child home child met study criteria either parent read Dari consent form explained fieldworker
0,PMC3348565,S61, Our study approved ethics review board Ministry Public Health Afghanistan reference 422328 issued May 12 2007 ethics committee London School Hygiene Tropical Medicine application number 5117 issued May 29 2008
8a,PMC3348565,S63, An independent statistician Shabbar Jaffar London School Hygiene Tropical Medicine London UK randomised unique identification numbers individually fixed blocks 20 vitamin D3 placebo group use random number generator SAS routine
8b,PMC3348565,S63, An independent statistician Shabbar Jaffar London School Hygiene Tropical Medicine London UK randomised unique identification numbers individually fixed blocks 20 vitamin D3 placebo group use random number generator SAS routine
10,PMC3348565,S63, An independent statistician Shabbar Jaffar London School Hygiene Tropical Medicine London UK randomised unique identification numbers individually fixed blocks 20 vitamin D3 placebo group use random number generator SAS routine
9,PMC3348565,S64, By use randomisation list pharmacist Department Pharmacy Aga Khan University Hospital Karachi prepared 100  000 IU 2 5 mg vitamin D3 cholecalciferol olive oil Sinochem Ningbo Laboratory China placebo olive oil sealed 2 mL plastic syringes labelled unique identification numbers
11a,PMC3348565,S65, The vitamin D3 placebo colour pale yellow taste quantity 0 5 mL therefore study staff families know group children assigned
11b,PMC3348565,S65, The vitamin D3 placebo colour pale yellow taste quantity 0 5 mL therefore study staff families know group children assigned
10,PMC3348565,S66, Fieldworkers allocated children randomisation groups recruitment gave vitamin D placebo
5,PMC3348565,S68, We chose quarterly supplementation regimen routine programme conditions quarterly regimen likely better adherence daily regimen 13 14 shown effective maintaining serum vitamin D concentration within normal ranges 2  3 months French high risk infant population 16
5,PMC3348565,S69, The syringes containing vitamin D placebo stored conditions recommended manufacturer  a dry cool environment  between 2 24 weeks administration
0,PMC3348565,S70, We provided child identification card included photograph child enable easy access outpatient out of hours paediatric services study hospital
0,PMC3348565,S71, We encouraged families bring children study hospital illness quality treatment offered free charge
0,PMC3348565,S72, Four experienced paediatricians 30 female fieldworkers medical students nurses midwives community health workers rigorously trained study protocols Integrated Management Childhood Illnesses strategy assessment signs symptoms required study
0,PMC3348565,S73, The quality clinical assessment clinics home visits monitored weekly study supervisors
0,PMC3348565,S74, The fieldworkers followed children every 2 weeks June 2009 obtain background information assess illness symptom history examination chest in drawing body temperature Thermoval Classic Hartmann digital thermometer signs dehydration skin pinching respiratory rate count 1 min stopwatch refer study hospital needed
0,PMC3348565,S75, Respiratory rate anthropomorphic data collected twice used mean values analysis
6a,PMC3348565,S76, All children clinically diagnosed pneumonia offered free chest radiographs taken radiographers trained WHO trainer
6a,PMC3348565,S77, The masked radiographs read two independent paediatric radiologists based Acute Respiratory Infections Unit Pakistan Institute Medical Sciences experienced reading paediatric chest radiographs WHO vaccine trials WHO proformas standardised interpretation paediatric chest radiographs diagnosis pneumonia 17
6a,PMC3348565,S78, In case disagreement radiographs read third independent radiologist decisions accepted
6a,PMC3348565,S79, We ascertained causes death scrutiny hospital notes verbal autopsy interviews WHO standard questionnaire review interview data two physicians independently
6a,PMC3348565,S80, We defined clinical pneumonia history cough plus increased respiratory rate age chest in drawing danger sign ie drinking breastfeeding convulsion vomiting lethargic unconscious stridor calm child
6a,PMC3348565,S81, We defined severe pneumonia cough plus chest in drawing severe diseases cough plus danger signs
6a,PMC3348565,S82, Our primary endpoint first episode pneumonia time enrolment confirmed chest radiograph consolidation infiltrates
6a,PMC3348565,S83, We defined new episode pneumonia episode happening 15 days longer first
6a,PMC3348565,S84, We judged episode happening within 14 days continuation previous episode
6a,PMC3348565,S85, We collected venous blood samples randomly selected blocks children basis assumption block equal number children vitamin D3 placebo groups
6a,PMC3348565,S86, This ascertain calcifediol serum concentrations 1 week giving first dose placebo group baseline value whole population well early concentrations first vitamin D supplementation intervention group 70 placebo 69 intervention groups
6a,PMC3348565,S87, We also collected samples times appendix different set randomly selected children check fluctuations serum concentrations
6a,PMC3348565,S88, We stored serum samples analysed end study IDS iSYS Multi Discipline Automated Chemiluminescent assay Immunodiagnostic Systems Ltd Tyne Wear UK Manchester Royal Infirmary Manchester UK Supra Regional Vitamin D Reference Laboratories accredited ISO9001 2000 ISO13485 2003 participating Vitamin D Quality Assurance Scheme
7a,PMC3348565,S90, We assumed incidence first episode pneumonia first episode placebo group would 0 0585 per child per year based report incidence acute lower respiratory infections developing countries greater 0 65 per child per year 18 12 episodes pneumonia 75 first episodes
7a,PMC3348565,S91, Given 73 children vitamin D deficiency study region 2005 12 incidence pneumonia ten times higher vitamin D deficient children children without deficiency case control studies1 2 postulated would least 35 reduction pneumonia incidence vitamin D compared placebo group
7a,PMC3348565,S92, Thus study 80 power 95 significance needed 22  079 child months per group total 2454 children 18 months follow up
7a,PMC3348565,S93, Assuming 20 loss follow up allowing protocol violations intended recruit 3050 children 18 months follow up
12a,PMC3348565,S94, Data entered Microsoft Access database version 2007 data processing analysis done STATA version 11 0
0,PMC3348565,S95, We compared baseline characteristics distribution prestated confounders intervention placebo groups
12a,PMC3348565,S96, To assess potential problem multicollinearity used Pearsons correlation coefficient Cramers V paired categorical variables
0,PMC3348565,S97, If child seen 45 days two weekly visits hospital censored period study
0,PMC3348565,S98, These children could re enter study next seen
0,PMC3348565,S99, We calculated person time risk child date child reached primary endpoint last seen end study censored lost follow up
16,PMC3348565,S100, For intention to treat analysis included children randomly assigned study groups
16,PMC3348565,S101, For per protocol analysis included children groups received doses interval doses 60 120 days violated randomisation codes
0,PMC3348565,S102, We analysed repeat episodes accounting clustering within individuals
12a,PMC3348565,S103, We made initial comparisons time to an episode two groups log rank tests Kaplan  Meier plots
12a,PMC3348565,S104, We estimated incidence rate ratio RR episodes pneumonia Cox proportional hazard models
12a,PMC3348565,S105, We assessed violation proportionality assumption Schoenfeld residuals
23,PMC3348565,S106, This study registered ClinicalTrials gov number NCT00548379
0,PMC3348565,S108, The sponsor study role study design data collection data analysis data interpretation writing report
0,PMC3348565,S109, The corresponding author full access data study final responsibility decision submit publication
3a,PMC3386495,S36, IST 3 pragmatic10 international multicentre randomised controlled open treatment trial
11a,PMC3386495,S37, The initial pilot phase double blinded placebo controlled
3a,PMC3386495,S37, The initial pilot phase double blinded placebo controlled
3b,PMC3386495,S38, At end pilot phase since main phase compared treatment open control several additional measures introduced minimise bias assessment early late outcomes 11
24,PMC3386495,S39, We published reports rationale trial 12 protocol 13 update recruitment amendments protocol baseline characteristics patients recruited 11 statistical analysis plan 14
4a,PMC3386495,S40, The eligibility criteria summarised terms uncertainty principle 15  17
4a,PMC3386495,S41, Inclusion exclusion criteria listed detail protocol 13
24,PMC3386495,S41, Inclusion exclusion criteria listed detail protocol 13
4a,PMC3386495,S42, Briefly patients eligible according following criteria symp toms signs clinically definite acute stroke time stroke onset known treatment could started within 6 h onset CT MRI reliably excluded intracranial haemorrhage structural brain lesions could mimic stroke eg cerebral tumour
4a,PMC3386495,S43, Additionally patient clear indication intravenous thrombolysis rt PA treated accordance local guidelines
4a,PMC3386495,S44, Equally patient clear contraindication treatment entered trial
4a,PMC3386495,S45, Only clinician patient relevant proxy patient felt treatment promising unproven could patient included trial appropriate informed consent patient valid proxy
0,PMC3386495,S46, The protocol approved Multi centre Research Ethics Committees Scotland reference MREC 99 0 78 local ethical committees
23,PMC3386495,S47, This study registered ISRCTN25765518
15,PMC3386495,S49, Table 1 Baseline characteristics
10,PMC3386495,S50, Clinicians entered baseline data via telephone voice activated secure web based randomisation system
10,PMC3386495,S51, After system recorded checked data patients allocated either immediate thrombolysis 0 9 mg kg intravenous rt PA maximum 90 mg 10 bolus remainder 1 h control treatment
4a,PMC3386495,S52, The system would accept patients blood pressure glucose levels outside protocol defined criteria appendix pp 4  5 data inconsistencies
10,PMC3386495,S53, The system used minimisation algorithm achieve optimum balance key prognostic factors table 1 January 2006 minimisation additionally stratified world region minimised key factors within regions
8b,PMC3386495,S53, The system used minimisation algorithm achieve optimum balance key prognostic factors table 1 January 2006 minimisation additionally stratified world region minimised key factors within regions
0,PMC3386495,S54, To eligible join trial participating hospitals organised system stroke care
0,PMC3386495,S55, Acute care protocols specified trial include components effective stroke unit care 19 including soon admission intravenous access monitoring physiological variables correction abnormalities clinically appropriate intravenous fluid therapy
0,PMC3386495,S56, All patients trial treated within organised system stroke care irrespective treatment allocation
5,PMC3386495,S57, Patients allocated control group avoid treatment rt PA received stroke care clinical environment allocated rt PA group
5,PMC3386495,S58, Both treatment groups blood pressure monitored closely first 24 h
5,PMC3386495,S59, In double blinded phase groups avoid antiplatelet anticoagulant therapy 24 h
5,PMC3386495,S60, In open phase patients allocated control group start aspirin immediately
0,PMC3386495,S61, Blood pressure managed way treatment groups according local protocol
0,PMC3386495,S62, Additionally centres asked pretrial experience thrombolysis treatment stroke centre joining trial protocol open label use rt PA treated least three people 12 months joining trial centre classed experienced
6a,PMC3386495,S63, All patients CT MRI brain scan randomisation follow up scan 24  48 h
6a,PMC3386495,S64, A repeat brain scan required patient deteriorated neurologically intracranial haemorrhage suspected reason
6a,PMC3386495,S65, Although CT scanning preferred MRI allowed
6a,PMC3386495,S66, All scans sent trial centre Edinburgh masked central rating signs visible early ischaemia presence extent hypo attenuation swelling hyperattenuated artery haemorrhage background brain changes leukoaraiosis atrophy prior stroke lesions non stroke lesions validated rating methods 20  25
11a,PMC3386495,S66, All scans sent trial centre Edinburgh masked central rating signs visible early ischaemia presence extent hypo attenuation swelling hyperattenuated artery haemorrhage background brain changes leukoaraiosis atrophy prior stroke lesions non stroke lesions validated rating methods 20  25
11a,PMC3386495,S67, Images assessed original identifiers stripped record viewed via secure web based image viewing system international panel expert radiologists
6a,PMC3386495,S67, Images assessed original identifiers stripped record viewed via secure web based image viewing system international panel expert radiologists
11a,PMC3386495,S68, All assessments made masked patient details treatment allocation
6a,PMC3386495,S69, The primary outcome specified version 1 93 protocol published statistical analysis plan14 proportion patients alive independent measured Oxford Handicap Score OHS 26 commonly used variant modified Rankin score 27
6a,PMC3386495,S70, Patients OHS 0 1 2 classed independent
12a,PMC3386495,S71, The statistical analysis plan specified ordinal analysis OHS score 6 months
0,PMC3386495,S72, Additional secondary outcomes reported separately
6a,PMC3386495,S73, Events occurring within 7 days stroke recorded local trial clinician 7 day form deaths subdivided cause swelling initial infarct intracranial haemorrhage deaths initial stroke recurrent ischaemic stroke recurrent stroke unknown type cause symptomatic intracranial haemorrhage recurrent ischaemic stroke recurrent stroke unknown type neurological deterioration attributed swelling initial ischaemic stroke neurological deterioration attributable swelling initial ischaemic stroke haemorrhage major extracranial haemorrhage operational definitions events provided published protocol13 statistical analysis plan14
6a,PMC3386495,S74, Other fatal non fatal non cerebral events also recorded coded
11a,PMC3386495,S75, Data potential reports events extracted trial database presented adjudication committee masked treatment allocation
8a,PMC3386495,S77, To avoid predictable alternation treatment allocation thus potential loss allocation concealment patients allocated probability 0 80 treatment group would minimise difference groups key prognostic factors
8a,PMC3386495,S78, Additional details procedures used double blinded phase study reported elsewhere 11
10,PMC3386495,S79, The randomisation system informed local clinicians patients unique trial identification number weight adjusted dose drug placebo double blinded phase weight adjusted drug dose among allocated thrombolysis open phase given 10 bolus remainder infusion 1 h
11a,PMC3386495,S80, With exception 276 patients treated double blinded phase trial treatment given openly neither patient treating clinicians masked
6a,PMC3386495,S81, Hospital staff completed early outcome form 7 days death hospital discharge whichever occured first recording details events occurring hospital within 7 days details background treatments given functional status
6a,PMC3386495,S82, 6 months randomisation general practitioners hospital coordinators contacted IST 3 trial office staff check patient alive inform might approached follow up
11a,PMC3386495,S83, If appropriate IST 3 trial office masked staff mailed postal questionnaire patients assess outcome
6a,PMC3386495,S83, If appropriate IST 3 trial office masked staff mailed postal questionnaire patients assess outcome
6a,PMC3386495,S84, Non responders contacted telephone follow up data obtained telephone interview
6a,PMC3386495,S85, In Italy Austria follow ups done telephone interviews clinician masked treatment allocation highly experienced outcome assessment
11a,PMC3386495,S85, In Italy Austria follow ups done telephone interviews clinician masked treatment allocation highly experienced outcome assessment
6a,PMC3386495,S86, In Portugal patients followed clinic clinicians involved patients initial treatment masked treatment allocation far possible
11a,PMC3386495,S86, In Portugal patients followed clinic clinicians involved patients initial treatment masked treatment allocation far possible
6a,PMC3386495,S87, To assess durability treatment benefit beyond 6 months patients recruited UK countries appropriate funding obtained also followed 18 months
6a,PMC3386495,S88, All follow up done patient contact analyses ceased March 31 2012 recording deaths national registries deaths continues UK Norway Sweden
7a,PMC3386495,S90, At outset trial 2000 estimated among type patients likely recruited time detect absolute difference 10 proportion patients alive independent 6 months treatment sufficient power permit reliable analyses prespecified subgroups sample 6000 patients would needed
7a,PMC3386495,S91, A trial size could detect clinically worthwhile net benefit little 3 absolute difference primary outcome 80 power
3b,PMC3386495,S92, However clear 2007 obtaining sample 6000 longer feasible Steering Committee agreed revised recruitment target 11
7a,PMC3386495,S93, The sample size re estimated 2007 basis event rates treatment groups combined 3100
7a,PMC3386495,S94, This sample size gave 80 power detect absolute difference 4 7 primary outcome 11
0,PMC3386495,S95, We monitored quality integrity accumulating clinical data according protocol agreed study sponsors involved central statistical monitoring according principles described Buyse colleagues 28 supplemented onsite monitoring detailed source data verification random sample 10 records centres recruited 30 patients patterns data centre seemed anomalous
0,PMC3386495,S96, All IST 3 monitoring procedures compliant requirements study sponsors national ethics committees regulatory agencies 12 participating countries met appropriate regulatory Good Clinical Practice requirements
0,PMC3386495,S97, All baseline data 7 day 6 month outcome data subject verification checks built randomisation data management system
0,PMC3386495,S98, We monitored baseline postrandomisation imaging provided additional cross checks recruited patients centre performance
0,PMC3386495,S99, An expert radiologist checked scans masked clinical details treatment allocation immediately receipt trial office evidence adverse events protocol deviations
7b,PMC3386495,S100, The independent data monitoring committee met least annually review unmasked data major outcome events trial background stroke unit care received trial patients ensure equal treatment groups relevant external data including updates Cochrane systematic review reports large scale registries rt PA use strict confidence throughout course trial
7b,PMC3386495,S101, The committee judged data never met protocol specified criteria recommend modification protocol halt recruitment study
12a,PMC3386495,S102, The statistical analysis plan published14 unmasking authors data
16,PMC3386495,S103, All randomly assigned patients included analysis
0,PMC3386495,S104, Masked analysis patients baseline characteristics showed clear differences key prognostic factors age stroke severity degree ischaemic change baseline CT MRI patients randomly assigned different times stroke onset might complicate estimation effect treatment overall subgroups 11
12a,PMC3386495,S105, Therefore primary analysis effect treatment primary outcome adjusted logistic regression linear effects following covariates age National Institutes Health stroke scale NIHSS score time onset stroke symptoms randomisation presence vs absence ischaemic change prerandomisation brain scan according expert assessment
12b,PMC3386495,S106, An unadjusted analysis also presented
0,PMC3386495,S107, The trial meet original target 6000 patients longer adequately powered detect 3 absolute difference primary outcome 80 power
0,PMC3386495,S108, The statistical analysis plan writing committee access accumulating data therefore expanded include independent statistician Gordon Murray University Edinburgh Edinburgh UK advise correct approach
0,PMC3386495,S109, The writing group persuaded recent empirical evidence ordinal method statistically efficient effectively reducing sample size required stroke trials29 robust substantial deviations proportional assumption 30
6b,PMC3386495,S110, We therefore specified statistical analysis plan ordinal logistic regression analysis secondary outcome OHS dependent variable 5 levels levels 4 5 6 combined single level levels 0 1 2 3 retained distinct
3b,PMC3386495,S110, We therefore specified statistical analysis plan ordinal logistic regression analysis secondary outcome OHS dependent variable 5 levels levels 4 5 6 combined single level levels 0 1 2 3 retained distinct
12a,PMC3386495,S111, In model treatment odds ratios one level next assumed constant single parameter summarises shift outcome distribution treatment control groups
6a,PMC3386495,S112, For patients known alive 6 months unknown OHS used level function recorded 7 day form ie measured 7 days discharge hospital impute 6 month functional status 14
0,PMC3386495,S113, We chose simple form imputation effectively classified 6 month outcomes patients 7 day 6 month data known data shown
0,PMC3386495,S114, Analyses done SAS version 9 2
0,PMC3386495,S116, The sponsors study role design data collection data analysis data interpretation writing report
0,PMC3386495,S117, The corresponding author full access data study final responsibility decision submit publication
3a,PMC3391717,S39, We phase 3 randomised placebo controlled trial six Dutch one Scottish one Chilean centre
4b,PMC3391717,S39, We phase 3 randomised placebo controlled trial six Dutch one Scottish one Chilean centre
24,PMC3391717,S40, The trial protocol published 11
4a,PMC3391717,S41, Patients eligible inclusion admitted neurological neurosurgical units one participating hospitals within 4 days haemorrhage
0,PMC3391717,S42, Investigators based diagnosis aneurysmal subarachnoid haemorrhage presence extravasated blood basal cisterns brain CT or  if CT negative  by xanthochromia cerebrospinal fluid
4a,PMC3391717,S43, For patients normal CT scan xanthochromia cerebrospinal fluid proof aneurysm prerequisite inclusion
4a,PMC3391717,S44, We included patients perimesencephalic pattern haemorrhage CT aneurysm posterior circulation
4a,PMC3391717,S45, Exclusion criteria age younger 18 years renal failure defined serum creatinine concentration 150 bodyweight less 50 kg imminent death
0,PMC3391717,S46, The study complies Declaration Helsinki good clinical practice guidelines
0,PMC3391717,S47, We obtained ethics committee approval every centre
0,PMC3391717,S48, All patients provided written oral informed consent
10,PMC3391717,S50, The randomisation code produced University Medical Center Utrecht The Netherlands pharmacy
8a,PMC3391717,S51, The pharmacy used computer generated randomisation codes blocks four stratified centre
8b,PMC3391717,S51, The pharmacy used computer generated randomisation codes blocks four stratified centre
9,PMC3391717,S52, The pharmacy produced identical sequentially numbered randomly assigned boxes study medication containing either magnesium sulphate placebo
10,PMC3391717,S53, Local investigators assigned participant box lowest study number
10,PMC3391717,S54, The randomisation key kept pharmacy University Medical Center Utrecht
11a,PMC3391717,S55, Patients treating physicians investigators assessing outcomes analysing data masked allocation
0,PMC3391717,S57, At admission hospital investigators recorded sex age World Federation Neurological Surgeons subarachnoid haemorrhage grade12 patient
0,PMC3391717,S58, A score 1  3 deemed good clinical condition score 4  5 deemed poor clinical condition
5,PMC3391717,S59, Study medication consisted vials containing 64 mmol magnesium sulphate placebo saline produced pharmacy University Medical Center Utrecht distributed participating centres except centre Chile produced study medication
0,PMC3391717,S60, An intravenous magnesium dosing regimen 64 mmol per day aneurysmal subarachnoid haemorrhage safe maintains serum magnesium concentrations 1 0 2 0 mmol L 13
0,PMC3391717,S61, Furthermore symptomatic hypermagnesaemia occur patients normal renal function 14
5,PMC3391717,S62, Therefore participants received fixed daily dose 64 mmol magnesium sulphate reconstituted 0 9 saline placebo soon possible providing consent
5,PMC3391717,S63, Investigators administered study medication continuously via intravenous infusion continued 20 days haemorrhage onset hospital discharge death occurred sooner
5,PMC3391717,S64, Investigators checked renal function least every 2 days prevent symptomatic hypermagnesaemia
0,PMC3391717,S65, Monitoring magnesium concentration mandatory
5,PMC3391717,S66, We discouraged permitted investigators treat hypomagnesaemia admission intravenous magnesium sulphate
5,PMC3391717,S67, Investigators treated patients according local protocols included oral nimodipine 360 mg day bed rest aneurysm occlusion early aneurysm occlusion aimed achievement normovolaemia
6a,PMC3391717,S68, The primary outcome dependence15 defined modified Rankin Scale score 4 5 death 3 months haemorrhage
6a,PMC3391717,S69, The research nurse study coordinator collected outcome data centrally assessed Rankin score semi structured telephone interview patient s language
6a,PMC3391717,S70, The interview translated Dutch Spanish standard procedure16 17 forward  backward translation
6a,PMC3391717,S71, Secondary outcome measures symptoms modified Rankin Scale score 0 3 months haemorrhage difference distribution scores modified Rankin Scale
0,PMC3391717,S73, In pilot study 35 patients untreated group poor outcome compared 27 intervention group RR 0 77 10
7a,PMC3391717,S74, On basis data estimated 1082 patients would needed confirm effect 5 80 power
7a,PMC3391717,S75, To allow reliable detection slightly smaller effect risk ratio 0 78 decided enrol 1200 patients
0,PMC3391717,S76, A research nurse entered baseline outcome data study database
0,PMC3391717,S77, The study coordinator analysed data
0,PMC3391717,S78, The data checked results discussed executive committee
7b,PMC3391717,S79, The data monitoring committee two interim analyses study 350 750 patients completed 3 month follow up reference pre defined stopping rule recommended continuation trial occasions
12a,PMC3391717,S80, We analysed results according intention treat comparing poor outcome 3 months group risk ratio 95 CI
0,PMC3391717,S81, We planned sensitivity analyses assigning patients lost follow up either good outcome poor outcome irrespective treatment group assigning patients unknown randomisation codes either magnesium group placebo group
12b,PMC3391717,S82, Planned subgroup analyses done according age sex clinical condition admission method treatment aneurysm whether centre treated hypomagnesaemia intravenous magnesium supplementation
12a,PMC3391717,S83, We compared distributions modified Rankin Scale scores non parametric Mann Whitney U test
0,PMC3391717,S84, We updated previous Cochrane meta analysis5 results MASH 2 eligible randomised trials published since start MASH 2 last update Cochrane review 18  20
0,PMC3391717,S85, We used Cochrane Review Manager version 5 1 software meta analysis SPSS version 15 0 analyses
23,PMC3391717,S86, This study registered controlled trials com ISRCTN 68742385 EU Clinical Trials Register EudraCT 2006 003523 36
0,PMC3391717,S88, The sponsor role study design data collection data analysis data interpretation writing report
0,PMC3391717,S89, The corresponding author full access data study final responsibility decision submit publication
3a,PMC3420230,S54, We undertook semifactorial randomised controlled trial two interventions women intrahepatic cholestasis pregnancy nine maternity units United Kingdom
4b,PMC3420230,S54, We undertook semifactorial randomised controlled trial two interventions women intrahepatic cholestasis pregnancy nine maternity units United Kingdom
0,PMC3420230,S55, The trial began two centres October 2008 remainder joined following year regulatory approvals obtained
4a,PMC3420230,S56, Women eligible confirmed intrahepatic cholestasis pregnancy itching pregnancy causes excluded association serum bile acid level greater upper limit normal unit  s laboratory pruritus raised alanine transaminase levels 100 IU L 24 0 40 6 weeks pregnant ursodeoxycholic acid comparison 34 1 37 6 weeks singleton pregnancy timing delivery comparison
4a,PMC3420230,S57, We excluded women aged less 18 years laboratory confirmed hepatitis A hepatitis B pre eclampsia primary hepatic disorders known antitrypsin deficiency current drugs causing deranged liver enzymes known lethal fetal anomaly allergy component ursodeoxycholic acid placebo capsules unable give informed consent
4a,PMC3420230,S58, Women concurrent hepatitis C cholelithiasis eligible
4a,PMC3420230,S59, Women multiple pregnancy eligible ursodeoxycholic acid comparison participating clinicians indicated women normally delivered 38 weeks   gestation
0,PMC3420230,S61, Clinicians midwives approached women attending antenatal clinic antenatal day assessment units antenatal ward participating study
0,PMC3420230,S62, A member research team confirmed eligibility gave women detailed verbal information information sheet invited take part
0,PMC3420230,S63, The usual hospital interpreter translator services available
0,PMC3420230,S64, The participants provided written dated informed consent women  s consultant obstetricians general practitioners informed participation
10,PMC3420230,S65, A member research team confirmed participant eligibility entered agreed minimum amount pre randomisation registration data secure internet based data form participant randomisation including results routine biochemical blood tests
10,PMC3420230,S66, Randomisation occurred Nottingham Clinical Trials Unit using web based database randomisation system
8a,PMC3420230,S67, The random allocation sequence comparison generated using specific function ralloc Stata StataCorp College Station TX software within clinical unit using randomly varying block sizes two four six
8b,PMC3420230,S67, The random allocation sequence comparison generated using specific function ralloc Stata StataCorp College Station TX software within clinical unit using randomly varying block sizes two four six
9,PMC3420230,S68, The random allocation sequence revealed data outcomes collected statistical analysis plan registered
8b,PMC3420230,S69, Randomisation stratified gestation recruitment ursodeoxycholic acid comparison trial centre comparisons
8b,PMC3420230,S70, Randomisation comparisons within trial 1 1 allocation ratio
0,PMC3420230,S71, Women eligible permitted participate either factorial comparisons
10,PMC3420230,S72, Those participated drug comparison 34 weeks   gestation allowed join timed delivery comparison 34 weeks group randomisation two treatment comparisons occurred different times
10,PMC3420230,S73, Allocation occurred centrally clinical unit using web based database
10,PMC3420230,S74, On randomisation clinical unit  s internet trial system issued unique participant identification number participant randomised one trials according eligibility
10,PMC3420230,S75, Sequentially numbered containers sent clinical trial  s pharmacist centre start trial packs kept pharmacy distribution participant
10,PMC3420230,S76, After randomisation ursodeoxycholic acid placebo comparison online prescription form generated printing
9,PMC3420230,S77, The participant collected trial drug placebo hospital pharmacy local trial  s pharmacist selected pack appropriate number
11a,PMC3420230,S78, The investigator pharmacist trial participant blind group allocation
10,PMC3420230,S79, For timing delivery comparison investigator participant could blinded treatment group appropriate arrangements made induction elective delivery expectant management allocated
5,PMC3420230,S80, Obstetricians permitted induce participants expectant management group 40 0 weeks   gestation clinical needs dictated
5,PMC3420230,S81, Other trial randomisation women managed accordance unit  s guideline intrahepatic cholestasis pregnancy frequency blood testing fetal monitoring determined local clinicians
0,PMC3420230,S82, All centres aware Royal College Obstetricians Gynaecologists   guidelines management obstetric cholestasis 8
